source_notice_id,candidate_notice_id,candidate_rank,m0_composite_score,in_balanced_linked_set,posterior_M
15-182957,20-68923,8,0.0732979348004223,False,0.004256534051894949
15-184251,20-47300,1,0.341451587659654,True,0.999999999999
15-184743,16-80474,1,0.3926782025954226,True,0.0006383817690562536
15-184750,16-68672,1,0.3486139643256984,True,0.0005493648097675258
15-184750,16-92101,2,0.3390548569503505,False,0.0004632860513148011
15-184750,16-151274,3,0.2106708180837477,False,0.000597429920657376
15-187883,19-70735,1,0.376191445705198,True,0.999999999999
15-187883,19-18263,2,0.3139648824972202,False,0.999999999999
15-187883,19-146419,3,0.2449183691812944,False,0.999999999999
15-187883,18-152399,4,0.1329485667798787,False,0.999999999999
15-189271,20-16042,1,0.4096501172206848,True,0.0023468889113521323
15-189271,20-25157,2,0.3850114838435495,False,0.0023514107156601305
15-189271,19-130357,3,0.3795584271627613,False,0.009141407656937805
15-189271,20-13755,4,0.3756128201693506,False,0.0031193985558128348
15-189271,20-15455,5,0.3715063812731614,False,0.0031192850853232995
15-189271,19-174809,6,0.3639978767621458,False,0.0006828086481399098
15-189271,19-159320,7,0.3245156788018432,False,0.0007014285797249703
15-189271,19-145053,8,0.2865140024998402,False,0.0006899996083695154
15-189271,19-99281,9,0.1255838172454014,False,0.004638697904737969
15-190662,17-3197,1,0.2173559605784639,False,0.000507978986839957
15-190662,17-18523,2,0.1827095657747966,False,0.00047602131720597435
15-190662,16-74267,3,0.1616503609729329,False,0.0006619018313191794
15-190662,17-32213,4,0.1576136740029723,False,0.0005029838033043476
15-192276,20-59788,1,0.3121193692638421,False,0.0034576646463524117
15-192276,20-49879,2,0.2751614191981391,False,0.0034508805433945875
15-192276,20-91479,3,0.2618419167863891,False,0.00314520797194228
15-192356,20-32203,1,0.7644784430602949,True,0.999999999999
15-192356,19-191665,2,0.4300617024837896,False,0.002906874786644426
15-192356,20-26585,3,0.4241257612258822,False,0.003649501006819295
15-192356,20-12070,4,0.3896240256021181,False,0.002485035077006727
15-192356,19-189603,5,0.3776537955006781,False,0.005148161991303716
15-192356,19-189628,6,0.3425813843043397,False,0.0005093537396671836
15-192356,20-34392,7,0.3272694623528952,False,0.0025885256128426906
15-192356,20-21049,8,0.3206792214775542,False,0.0005529347705646534
15-192356,19-119269,9,0.3145608066220734,False,0.0040746009260280176
15-192356,20-26328,10,0.3087683463501686,False,0.0006470889392255482
15-192356,20-66643,11,0.2825301954495068,False,0.0030087916849106007
15-192356,20-25276,12,0.2791706079014894,False,0.00387415782347628
15-192356,20-11000,13,0.2752566140359653,False,0.003329780755490662
15-192356,20-54283,14,0.2684105048408496,False,0.002650030675562278
15-192356,19-156899,15,0.2646558426874742,False,0.0037418673557835843
15-192356,19-151382,16,0.2543291537437397,False,0.0038272709656222074
15-192356,19-158679,17,0.2505871315821221,False,0.0006402878491571805
